fov,cell_ID,x_global_px,y_global_px,x_local_px,y_local_px,z,target,CellComp
2,0,5324.26944444444,-157187.503333333,4829.825,3045.83,2,P2RY12,0
2,0,5829.52794444444,-157148.200033333,5335.0835,3085.1333,2,IL17RA,0
2,0,5397.42394444445,-157025.373313333,4902.9795,3207.96002,2,CD34,0
2,0,5544.61944444445,-156860.283333333,5050.175,3373.05,2,HLA-DPA1,0
2,0,5922.79444444444,-157032.149983333,5428.35,3201.18335,2,TYROBP,0
2,0,5648.39444444444,-157126.008383333,5153.95,3107.32495,2,DUSP5,0
2,0,5304.15344444444,-157162.151573333,4809.709,3071.18176,2,VEGFA,0
2,0,5542.64444444444,-156899.200003333,5048.2,3334.13333,2,VSIR,0
2,0,5333.63144444444,-156999.766653333,4839.187,3233.56668,2,NPPC,Membrane
2,0,5827.30484444444,-156807.493333333,5332.8604,3425.84,2,CXCL16,0
2,0,5743.20644444444,-157153.758333333,5248.762,3079.575,2,IL2,0
2,0,5783.04404444444,-157078.855583333,5288.5996,3154.47775,2,MAP1LC3B,0
2,0,5796.07444444445,-157077.553363333,5301.63,3155.77997,2,SOSTDC1,0
2,0,5789.44444444445,-157148.908333333,5295,3084.425,2,FZD5,0
2,0,5934.64444444445,-156748.790483333,5440.2,3484.54285,2,FZD6,0
2,0,5714.82284444444,-156984.369013333,5220.3784,3248.96432,2,GPX1,0
2,0,5606.67344444444,-156873.461903333,5112.229,3359.87143,2,IGF1R,0
2,0,5782.53574444444,-157131.769673333,5288.0913,3101.56366,2,TPM2,0
2,0,5687.32774444444,-157209.566673333,5192.8833,3023.76666,2,CCL13,0
2,0,5323.35844444445,-156997.261893333,4828.914,3236.07144,2,FZD4,Membrane
2,0,5355.32444444444,-157070.653333333,4860.88,3162.68,2,FLT1,0
2,0,5355.91544444444,-157034.519063333,4861.471,3198.81427,2,PIGR,0
2,0,5741.39444444444,-156982.363303333,5246.95,3250.97003,2,VCAM1,0
2,0,5781.83314444444,-157093.088853333,5287.3887,3140.24448,2,KRAS,0
2,0,5714.38484444445,-157023.613363333,5219.9404,3209.71997,2,IFNAR2,0
2,0,5343.56444444445,-157012.433333333,4849.12,3220.9,2,LY6D,Membrane
2,0,5724.87804444444,-157036.455553333,5230.4336,3196.87778,2,LGALS1,0
2,0,5890.39514444444,-157041.283313333,5395.9507,3192.05002,2,HLA-DRB1,0
2,0,5914.82774444444,-156692.849993333,5420.3833,3540.48334,2,CD274,0
2,0,5716.83214444445,-157056.258353333,5222.3877,3177.07498,2,KRT13,Membrane
2,0,5799.14414444445,-157132.908333333,5304.6997,3100.425,2,CCL3,0
2,0,5711.32444444445,-157179.553433333,5216.88,3053.7799,2,SQSTM1,0
2,0,5824.96444444444,-156762.403323333,5330.52,3470.93001,2,CD63,0
2,0,5765.16904444444,-156934.908333333,5270.7246,3298.425,2,IL13RA1,0
2,0,5830.91544444444,-156970.890463333,5336.471,3262.44287,2,CD63,0
2,0,5772.46244444445,-156804.415133333,5278.018,3428.9182,2,DUSP5,0
2,0,5382.04444444444,-157059.516683333,4887.6,3173.81665,2,CSF3,0
2,0,5786.59444444444,-156743.400003333,5292.15,3489.93333,2,CD8A,Membrane
2,0,5564.23204444444,-157090.695853333,5069.7876,3142.63748,2,HSP90B1,0
2,0,5315.10544444445,-157178.610233333,4820.661,3054.7231,2,ZFP36,0
2,0,5521.43444444444,-157145.483293333,5026.99,3087.85004,2,ADGRD1,Membrane
2,0,5511.14444444444,-157131.533333333,5016.7,3101.8,2,FN1,Membrane
2,0,5776.36944444444,-156809.258333333,5281.925,3424.075,2,BGN,0
2,0,5322.27794444444,-156998.044433333,4827.8335,3235.2889,2,NegPrb23,Membrane
2,0,5749.96944444444,-157171.825033333,5255.525,3061.5083,2,AR,0
2,0,5782.97614444444,-157090.501763333,5288.5317,3142.83157,2,JAK2,0
2,0,5793.46444444445,-157077.413333333,5299.02,3155.92,2,CDKN1A,0
2,0,5366.21784444444,-157202.413293333,4871.7734,3030.92004,2,KLRB1,0
2,0,5533.90644444444,-156911.679493333,5039.462,3321.65384,2,IGFBP6,0
2,0,5742.15974444444,-157034.064103333,5247.7153,3199.26923,2,CD79A,0
2,0,5934.26444444444,-157083.513383333,5439.82,3149.81995,2,LDLR,0
2,0,5741.08404444444,-156978.373313333,5246.6396,3254.96002,2,WIF1,0
2,0,5941.53644444444,-157002.750053333,5447.092,3230.58328,2,BGN,0
2,0,5582.81604444445,-157100.347633333,5088.3716,3132.9857,2,CIDEA,0
2,0,5897.47814444445,-157061.400013333,5403.0337,3171.93332,2,DUSP5,0
2,0,5823.26944444445,-156751.483333333,5328.825,3481.85,2,RPL32,0
2,0,5353.75694444444,-157010.433333333,4859.3125,3222.9,2,OXER1,0
2,0,5566.03444444444,-157082.913353333,5071.59,3150.41998,2,IGFBP5,0
2,0,5613.94444444445,-157154.990503333,5119.5,3078.34283,2,TNFSF14,0
2,0,5795.52794444444,-157179.133383333,5301.0835,3054.19995,2,LYZ,0
2,0,5361.37744444444,-157164.333333333,4866.933,3069,2,EFNA5,0
2,0,5900.99474444445,-157052.383353333,5406.5503,3180.94998,2,GDF3,0
2,0,5618.60444444444,-157113.293293333,5124.16,3120.04004,2,CD74,0
2,0,5796.31944444445,-157113.308333333,5301.875,3120.025,2,IL12B,0
2,0,5923.22244444444,-157088.133293333,5428.778,3145.20004,2,MZT2A,0
2,0,5883.73004444445,-156944.347633333,5389.2856,3288.9857,2,WNT9A,0
2,0,5754.33404444445,-157046.763333333,5259.8896,3186.57,2,DDC,0
2,0,5540.31604444444,-157101.418963333,5045.8716,3131.91437,2,TGFB1,0
2,0,5928.24474444445,-156808.716683333,5433.8003,3424.61665,2,BAX,0
2,0,5782.20044444444,-157194.122233333,5287.756,3039.2111,2,AHI1,0
2,0,5928.24444444444,-156990.445833333,5433.8,3242.8875,2,JAK1,0
2,0,5526.09444444444,-157158.670833333,5031.65,3074.6625,2,IL1RAP,Membrane
2,0,5635.33404444445,-157161.893333333,5140.8896,3071.44,2,CD8B,Membrane
2,0,5942.17144444444,-157086.487903333,5447.727,3146.84543,2,S100A6,0
2,0,5371.42784444444,-157180.349993333,4876.9834,3052.98334,2,CD47,0
2,0,5756.98694444444,-156947.204733333,5262.5425,3286.1286,2,KRT13,0
2,0,5868.40444444444,-157178.283433333,5373.96,3055.0499,2,TNFRSF18,Nuclear
2,0,5902.28774444445,-157036.240473333,5407.8433,3197.09286,2,COTL1,0
2,0,5759.40144444444,-156653.619053333,5264.957,3579.71428,2,BECN1,Membrane
2,0,5552.36744444444,-156871.388903333,5057.923,3361.94443,2,ICOS,0
2,0,5743.19984444444,-157172.988933333,5248.7554,3060.3444,2,HLA-DRB1,0
2,0,5356.88684444444,-157031.859633333,4862.4424,3201.4737,2,C5AR2,0
2,0,5749.96944444444,-157055.308333333,5255.525,3178.025,2,MMP3,0
2,0,5504.26944444444,-156849.433313333,5009.825,3383.90002,2,LTB,0
2,0,5788.90444444444,-157206.253373333,5294.46,3027.07996,2,EGF,0
2,0,5313.85704444444,-157187.983333333,4819.4126,3045.35,2,OAS2,0
2,0,5761.78744444445,-156654.533338333,5267.343,3578.799995,2,KRT7,Membrane
2,0,5895.10144444444,-157010.990503333,5400.657,3222.34283,2,TNFAIP6,0
2,0,5729.40294444444,-157037.286213333,5234.9585,3196.04712,2,IL11,0
2,0,5894.56444444444,-157100.933333333,5400.12,3132.4,2,BGN,0
2,0,5377.65444444445,-157209.433373333,4883.21,3023.89996,2,GZMK,0
2,0,5371.04404444444,-156998.308313333,4876.5996,3235.02502,2,IGFBP5,0
